GOLD,TIP
989.75,-1.82
956.25,-1.98
945,-2.02
943.75,-2.06
949.5,-2
924.75,-2.02
911,-2.09
913.25,-1.98
937.75,-2.02
934.75,-2.06
911.5,-2.15
900,-2.03
914.5,-1.88
920,-1.87
923,-1.88
920,-1.9
910.75,-1.28
937.25,-1.31
957,-1.43
952.75,-1.4
928.75,-1.36
921.25,-1.44
935.5,-1.3
927,-1.38
923,-1.39
918.5,-1.43
919.5,-1.37
914.75,-1.44
901.5,-1.53
879.5,-1.52
879.25,-1.61
887.25,-1.57
883.75,-1.62
895,-1.52
892.25,-1.55
889,-1.59
872,-1.7
870,-1.66
888.75,-1.69
885,-1.65
894.5,-1.52
909,-1.53
911.75,-1.48
897,-1.54
894.5,-1.59
889,-1.69
881.5,-1.8
903,-1.77
903.5,-1.74
912.75,-1.74
917.5,-1.77
912.5,-1.7
920,-1.69
925.75,-1.67
923.25,-1.68
925,-1.66
929.75,-1.66
921.5,-1.65
928.5,-1.56
940,-1.67
952.5,-1.72
942,-1.72
949.5,-1.83
949.75,-1.87
972,-1.67
987,-1.8
973.5,-1.69
979,-1.68
967.25,-1.83
977.75,-1.88
946.5,-1.94
952.5,-1.88
961.25,-1.91
953,-1.89
950,-1.91
932,-1.9
936.75,-1.88
933.75,-1.95
936.75,-1.98
933.75,-1.91
924,-1.89
920.25,-1.84
928.75,-1.93
934.25,-1.82
943,-1.85
939.75,-1.83
941,-1.78
931.5,-1.83
936,-1.87
921.5,-2.03
925.75,-1.87
920.75,-1.79
914.75,-1.87
910,-1.8
908.5,-1.84
921.75,-1.86
930,-1.87
935.25,-1.82
934.5,-1.81
952.25,-1.73
947.75,-1.71
945.5,-1.75
955.25,-1.8
949.75,-1.81
956,-1.85
955,-1.86
935.5,-1.84
932,-1.78
936.5,-1.71
